"Action","Action"
"Add Category","Add Category"
"Add Comment","Add Comment"
"Add Post","Add Post"
"Advanced Options","Advanced Options"
"Advanced Post Options","Advanced Post Options"
"All comments will appear immediately without the need for approval by admin.","All comments will appear immediately without the need for approval by admin."
"An error occured. Please try again","An error occured. Please try again"
"Approve","Approve"
"Approved","Approved"
"Are you sure?","Are you sure?"
"Auto Approve Comments","Auto Approve Comments"
"Blog","Blog"
"Blog","Blog"
"Blog Comment Manager","Blog Comment Manager"
"Blog Manager","Blog Manager"
"Blog Post Manager","Blog Post Manager"
"Blog Post Options","Blog Post Options"
"Blog Settings","Blog Settings"
"Blog Title","Blog Title"
"By","By"
"Categories","Categories"
"Category","Category"
"Category Comment Manager","Category Comment Manager"
"Category does not exist","Category does not exist"
"Category Information","Category Information"
"Category Manager","Category Manager"
"Change status","Change status"
"click here","click here"
"Comment","Comment"
"Comment Information","Comment Information"
"Comment Manager","Comment Manager"
"Comments are Closed for this post","Comments are Closed for this post"
"Comments are not enabled.","Comments are not enabled."
"Comments","Comments"
"Comments","Comments"
"Comments per page","Comments per page"
"Comment Submitted","Comment Submitted"
"Comment was approved","Comment was approved"
"Comment was successfully deleted","Comment was successfully deleted"
"Comment was successfully saved","Comment was successfully saved"
"Comment was unapproved","Comment was unapproved"
"Content","Content"
"Created at","Created at"
"Created","Created"
"Created on","Created on"
"CSV","CSV"
"Date Format","Date Format"
"Delete Category","Delete Category"
"Delete Comment","Delete Comment"
"Delete","Delete"
"Delete Post","Delete Post"
"Description","Description"
"Disabled","Disabled"
"Duplicate Post","Duplicate Post"
"Edit Category  '%s'","Edit Category  '%s'"
"Edit Comment By '%s'","Edit Comment By '%s'"
"Edit","Edit"
"Edit Post '%s'","Edit Post '%s'"
"eg. "news" will make the blog accessible from domain.com/news. Must not contain any slashes. Blank for default","eg. "news" will make the blog accessible from domain.com/news. Must not contain any slashes. Blank for default"
"Email Address","Email Address"
"Email","Email"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Enable Blog RSS Feed","Enable Blog RSS Feed"
"Enable Categories menu","Enable Categories menu"
"Enable Comments","Enable Comments"
"Enable Comments","Enable Comments"
"Enabled","Enabled"
"Enable","Enable"
"Enable Footer Link","Enable Footer Link"
"Enable Left Menu","Enable Left Menu"
"Enable ReCAPTCHA","Enable ReCAPTCHA"
"Enable Right Menu","Enable Right Menu"
"Enable Top Link","Enable Top Link"
"Error during generation sitemap","Error during generation sitemap"
"Frequency","Frequency"
"Full","Full"
"Google Sitemap","Google Sitemap"
"Go to http://recaptcha.net/api/getkey to get keys","Go to http://recaptcha.net/api/getkey to get keys"
"Hidden","Hidden"
"Home","Home"
"Identifier","Identifier"
"ID","ID"
"If turned on additional "short content field" will be taken instead of truncated main post.","If turned on additional "short content field" will be taken instead of truncated main post."
"Keywords","Keywords"
"Latest Posts","Latest Posts"
"Logged in Auto Approve Comments","Logged in Auto Approve Comments"
"Login Required to Comment","Login Required to Comment"
"Long","Long"
"Medium","Medium"
"Menus and Links","Menus and Links"
"Meta Data","Meta Data"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"Name","Name"
"Newer Posts","Newer Posts"
"No","No"
"No Posts in this Category.","No Posts in this Category."
"Number of characters in a post to display before it is truncated and the read more link added. 0 for Unlimited.","Number of characters in a post to display before it is truncated and the read more link added. 0 for Unlimited."
"Number of post to display in the RSS feed.","Number of post to display in the RSS feed."
"Older Posts","Older Posts"
"Only comments made by users that are logged in will automaticlly be approved.","Only comments made by users that are logged in will automaticlly be approved."
"Page Layout","Page Layout"
"Parse CMS tags in post contents","Parse CMS tags in post contents"
"Please select categories","Please select categories"
"Please select comment(s)","Please select comment(s)"
"Please select post(s)","Please select post(s)"
"Position","Position"
"Post does not exist","Post does not exist"
"Posted in","Posted in"
"posted on","posted on"
"Posted","Posted"
"Poster","Poster"
"Post Identifier already exist.","Post Identifier already exist."
"Post Identifier cannot consist only of numbers.","Post Identifier cannot consist only of numbers."
"Post information","Post information"
"Post Information","Post Information"
"Post","Post"
"Posts Per Page","Posts Per Page"
"Post was successfully deleted","Post was successfully deleted"
"Post was successfully saved","Post was successfully saved"
"pos was successfully deleted","pos was successfully deleted"
"Price","Price"
"Priority","Priority"
"Read More","Read More"
"ReCAPTCHA Private Key","ReCAPTCHA Private Key"
"ReCAPTCHA Public Key","ReCAPTCHA Public Key"
"ReCAPTCHA","ReCAPTCHA"
"Recent Posts","Recent Posts"
"Recent Posts","Recent Posts"
"Related post","Related post"
"Relative to current skin directory eg. images/rsslogo.jpg","Relative to current skin directory eg. images/rsslogo.jpg"
"* Required Fields","* Required Fields"
"Return to","Return to"
"Route to Blog","Route to Blog"
"RSS Feed Image","RSS Feed Image"
"RSS Feed","RSS Feed"
"RSS Posts to Show","RSS Posts to Show"
"Save And Continue Edit","Save And Continue Edit"
"Save Category","Save Category"
"Save Comment","Save Comment"
"Save Post","Save Post"
"Send Emails To","Send Emails To"
"Short Content","Short Content"
"Short","Short"
"Show Bookmarks in Lists","Show Bookmarks in Lists"
"Show Bookmarks in Posts","Show Bookmarks in Posts"
"Show Breadcrumbs","Show Breadcrumbs"
"SKU","SKU"
"Sort Order","Sort Order"
"Status","Status"
"Store View","Store View"
"Submit Comment","Submit Comment"
"Summary Character Count","Summary Character Count"
"Tagged with "%s"","Tagged with "%s""
"tags","tags"
"Tags","Tags"
"Tags to display","Tags to display"
"The number of recent post to be displayed in the menu. 0 to disable.","The number of recent post to be displayed in the menu. 0 to disable."
"The number of tags to display in tag cloud. 0 Will disable tag cloud","The number of tags to display in tag cloud. 0 Will disable tag cloud"
"The number posts displayed per page. 0 to disable pages.","The number posts displayed per page. 0 to disable pages."
"Title","Title"
"Total of %d comment(s) were successfully approved","Total of %d comment(s) were successfully approved"
"Total of %d comment(s) were successfully unapproved","Total of %d comment(s) were successfully unapproved"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Unable to find category to save","Unable to find category to save"
"Unable to find comment to save","Unable to find comment to save"
"Unable to find post to save","Unable to find post to save"
"Unapproved","Unapproved"
"Unapprove","Unapprove"
"Updated at","Updated at"
"Use categories id in posts URLs","Use categories id in posts URLs"
"User","User"
"Use short content field","Use short content field"
"Use space or comma as separators","Use space or comma as separators"
"Valid values range from 0.0 to 1.0","Valid values range from 0.0 to 1.0"
"View","View"
"XML","XML"
"Yes, all pages","Yes, all pages"
"Yes, only blog page","Yes, only blog page"
"You must be logged in to comment.","You must be logged in to comment."
"You must be logged in to post a comment.","You must be logged in to post a comment."
"Your comment has been submitted and is awaiting approval.","Your comment has been submitted and is awaiting approval."
"Your comment has been submitted.","Your comment has been submitted."
"Your Recaptcha solution was incorrect, please try again","Your Recaptcha solution was incorrect, please try again"
